function_no,functionality.meaning,value,meaning
19,"Sequence Controller (SQC) Server","00000001 to 10000000","(1) Reserved for ISO assignment"
20,"Sequence Controller (SQC) Client",00000000,"(1) No options"
20,"Sequence Controller (SQC) Client","00000001 to 10000000","(1) Reserved for ISO assignment"
21,"ISOBUS Shortcut Button (ISB) Server",00000000,"(1) No options"
21,"ISOBUS Shortcut Button (ISB) Server","00000001 to 10000000","(1) Reserved for ISO assignment"
22,"ISOBUS Shortcut Button (ISB) Client",00000000,"(1) No options"
22,"ISOBUS Shortcut Button (ISB) Client","00000001 to 10000000","(1) Reserved for ISO assignment"
24,"Datalogger (LOG) Server",00000000,"(1) No options for this option byte supported"
24,"Datalogger (LOG) Server",00000001,"(1) Data logger (LOG) service type supports FMIS interface"
24,"Datalogger (LOG) Server","00000010 to 10000000","(1) Reserved for ISO assignment"
25,"Datalogger (LOG) Client",00000000,"(1) No options"
25,"Datalogger (LOG) Client","00000001 to 10000000","(1) Reserved for ISO assignment"
26,"ISOBUS System Information (INFO) Server",00000000,"(1) No options for this option byte supported"
26,"ISOBUS System Information (INFO) Server",00000001,"(1) Support of onboard visualization"
26,"ISOBUS System Information (INFO) Server",00000010,"(1) Support of diagnostic data export"
26,"ISOBUS System Information (INFO) Server",00000100,"(1) Support of CAN trace possibility"
26,"ISOBUS System Information (INFO) Server","00001000 to 10000000","(1) Reserved for ISO assignment"
