value,manufacturer,location,date_created_or_last_modified
818,HGNSS,"Scottsdale, AZ   USA",2017-04-21
819,"Preco Electronics","Boise, ID   USA",2017-04-30
820,"DIaLOGIKa Gesellschaft fuer angewandte Informatik mbH","Saarbruecken, Germany",2017-04-30
821,"Thorsen Teknik A/S","Farsø, Denmark",2017-05-01
822,"Bren-Tronics, Inc.","Commack, NY  USA",2017-05-04
823,"ACEINNA, Inc (formerly MEMSIC, Inc)","Andover, MA  USA",2017-09-03
824,"Undheim Systems AS","Egersund, Norway",2017-05-04
825,"BPW Hungária","Szombathely, Hungary",2017-05-04
826,"Lewmar Marine Inc","Guilford, CT   USA",2017-05-05
827,"INmatix Technology Group Ltd","Hattem, The Netherlands",2017-05-11
828,"AgriBrink Inc.","Moorefield, ON  Canada",2017-05-21
829,"Drov Technologies, Inc.","Oklahoma City, OK  USA",2017-05-22
830,"Ultra Motion LLC","Cutchogue, NY   USA",2017-05-22
831,"DOK-ING Ltd.","Zagreb, Croatia",2017-05-22
832,"Heizomat Gerätebau-Energiesysteme GmbH","Gunzenhausen, Germany",2017-05-24
833,"Electrum Automation AB","Umeå, Sweden",2017-05-24
834,"Pioneer Microsystems, Inc.","Pittsburgh, PA   USA",2017-05-24
835,"PetTrack Ltd.","Héreg, Hungary",2017-05-31
836,Signature4,"Coldwater, OH   USA",2017-05-31
837,"Famic Technologies Inc.","Montréal, QC   Canada",2017-06-11
838,"Teamsurv Ltd","Didcot, Oxfordshire   UK",2017-06-12
839,"Indexator Rotator Systems AB","Vindeln, Sweden",2017-06-27
840,"E.S.T.E. srl","Ferrara, Italy",2017-07-14
841,Agra-GPS,"Stony Plain, AB   Canada",2017-07-14
842,"DigiDevice Srl","Calvisano, Italy",2017-07-14
843,"Hendrickson Truck Commercial Vehicle Systems","Woodridge, IL   USA",2017-07-14
844,"FELL AS","Lier, Norway",2017-07-14
845,"GMB Güstrower Maschinenbau GmbH","Güstrow, Germany",2017-07-16
846,"L3 Magnet-Motor","Starnberg, Germany",2017-07-19
847,Oceanvolt,"Vantaa, Finland",2017-07-26
848,ningupex,"Dresden, Germany",2017-07-31
849,"MTS Maschinentechnik Schrode AG","Hayingen, Germany",2017-08-06
850,"Geoprospectors GmbH","Traiskirchen, Austria",2017-08-08
851,"Novotechnik Messwertaufnehmer OHG","Ostfildern (Ruit), Germany",2017-08-08
852,"Velvac Inc","New Berlin, WI   USA",2017-08-24
853,"Teledyne RESON B.V.","Rotterdam, The Netherlands",2017-09-05
854,"GEMAC Chemnitz GmbH","Chemnitz, Germany",2017-09-05
855,"Toshiba Infrastructure Systems & Solutions Corporation","Kawasaki, Japan",2017-09-10
856,"FarmFacts GmbH","Pfarrkirchen, Germany",2017-09-10
857,"Zoomlion Heavy Industry NA, Inc","Yorkville, WI   USA",2017-09-23
858,Littelfuse,"Kaunas, Lithuania",2017-09-23
859,Valor,"Burlington, ON   Canada",2017-09-23
860,Michelin,"Clermont-Ferrand, France",2017-09-27
861,"Adel System S.r.l.","Reggio Emilia, Italy",2017-09-27
862,"Prospec Electronics","Mount Pleasant, SC   USA",2017-10-20
863,SMAG,"Châlons-en-Champagne, France",2017-10-20
864,"Streamline Transportation Technologies Inc.","Kamloops, BC   Canada",2017-10-20
865,MyEasyFarm,"Prunay, France",2017-10-20
866,"Netradyne, Inc.","San Diego, CA   USA",2017-10-30
867,"Skeleton Technologies","Lubja, Estonia",2017-11-03
868,"Data Panel Corp","Plymouth, MN   USA",2017-11-06
869,Intercomp,"Medina, MN   USA",2017-11-13
870,"Textron Fleet Management","Surrey, BC   Canada",2017-11-13
871,"Agri-Fab (formerly Superior Tech Inc)","Sullivan, IL   USA",2021-12-09
872,"Kählig Antriebstechnik GmbH","Hannover, Germany",2017-11-17
873,"Garnet Instruments Ltd.","Sherwood Park, AB   Canada",2017-12-04
874,"MTA S.p.A.","Codogno, Italy",2017-12-04
875,"Salvarani S.r.l.","Poviglio (RE), Italy",2017-12-04
876,"SUCO Robert Scheuffele GmbH & Co. KG","Bietigheim-Bissingen, Germany",2017-12-13
877,"SICK ATech GmbH","Witten, Germany",2017-12-13
878,FOTON,"Beijing, China",2017-12-13
879,"PG Trionic, Inc.","Essex, MA   USA",2017-12-13
880,"Revision Military","Ottawa, ON  Canada",2018-01-08
881,Sovema,"Gaggio di Piano, Italy",2018-01-08
882,"BHTronik GmbH & Co. KG","Oberviechtach, Germany",2018-01-08
883,"Swift Navigation, Inc.","San Francisco, CA  USA",2018-01-08
884,"Sure Grip Controls Inc.","Saanichton, BC  Canada",2018-01-09
885,"SICK AG (formerly SICK Stegmann GmbH)","Donaueschingen, Germany",2021-10-26
886,"Hitachi Zosen Corporation","Osaka, Japan",2018-01-23
887,"Turntide Transport Limited (formerly Hyperdrive Innovation Limited)","Sunderland, Tyne and Wear  UK",2022-05-17
888,"Carma Systems Inc","Albany, NY   USA",2018-01-23
889,"SANY America Inc","Peachtree City, GA   USA",2018-01-23
890,"L3 Technologies, Inc.","Sarasota, FL   USA",2018-01-26
891,CarrierWeb,"Atlanta, GA   USA",2018-02-01
892,"Mectronx Corp","Sun Prairie, WI   USA",2018-02-04
893,"KlinkTechnics Ltd.","Beaver Dam, WI   USA",2018-02-07
894,"Rhodan Marine Systems of Florida LLC (Duplicate entry; use MFR ID 1012)","Sarasota, FL   USA",2024-08-02
895,"Peloton Technology","Mountain View, CA   USA",2018-02-10
896,"NextFour Solutions Ltd","Turku, Finland",2018-02-10
897,"Dot Technology Corp.","Emerald Park, SK   Canada",2018-02-14
898,"Josef Kotte Landtechnik GmbH & Co. KG","Rieste, Germany",2018-02-20
899,"Lippert Components, Inc","Sterling Heights, MI   USA",2018-03-04
900,"OSB connagtive GmbH (formerly OSB AG)","Munich, Germany",2021-08-03
901,"Zivan Srl","Poviglio, Italy",2018-03-04
902,"Bucher Hydraulics","Neuheim, Switzerland",2018-03-04
903,InMotion,"Blacksburg, VA   USA",2018-03-08
904,"Equipment Safety Systems Pty. Ltd. (EQSS)","Seaford, Victoria   Australia",2018-03-08
905,"ASA Electronics","Elkhart, IN   USA",2018-03-15
906,"MOBA AG","Limburg, Germany",2018-04-25
907,strautmann,"Bad Laer, Germany",2018-04-15
908,"Chonbuk National University Department of Electronics","Jeonju, Republic of Korea",2018-04-15
909,"Marines Co., Ltd.","Ulsan, Republic of Korea",2018-04-17
910,"Hermann Paus Maschinenfabrik GmbH","Emsbüren, Germany",2018-04-25
911,Nautic-On,"Chicago, IL   USA",2018-04-25
912,"Steyr Motors GmbH","Steyr, Austria",2018-04-25
913,"Toyota Motor Corporation","Toyota City, Japan",2018-04-25
914,"ZETOR TRACTORS a.s.","Brno, Czech Republic",2018-05-07
915,"Dosificacion y sistemas electronicos S.L. (DSE)","Mieres, Spain",2018-05-07
916,"Hans Turck GmbH & Co. KG (formerly Turck Inc.)","Mülheim an der Ruhr, Germany",2022-06-21
917,"Sentinel d.o.o.","Vodnjan, Crotia",2018-05-13
918,"AMW Machine Control, Inc","Saranac, MI   USA",2018-05-16
919,"Furrion LLC","Elkhart, IN   USA",2018-05-16
920,"MTD Consumer Group Inc.","Valley City, OH   USA",2018-05-18
921,"ROPA Fahrzeug- und Maschinenbau GmbH","Herrngiersdorf, Germany",2018-05-18
922,"Terberg Benschop B.V.","Benschop, The Netherlands",2018-05-25
923,"ELTEK S.p.A.","Casale Monferrato, Italy",2018-06-03
924,"PAS Peschak Autonome Systeme GmbH","Großweikersdorf, Austria",2018-06-03
925,"GW Lisk Company","Clifton Springs, NY   USA",2018-06-03
926,"Buhler Industries Inc.","Winnipeg, MB   Canada",2018-06-03
927,Saicon,"Passo Fundo, Brazil",2018-06-03
928,"EAO Automotive GmbH & Co. KG","Auerbach, Germany",2018-06-05
929,"Jl Marine Systems, Inc.","Tampa, FL   USA",2018-06-07
930,"Ecotronix Corp.","Seoul, Republic of Korea",2018-06-07
931,"Enertec Marine Ltd","Auckland, New Zealand",2018-06-14
932,"Discover Battery","Richmond, BC   Canada",2018-06-25
933,"Delta Mobile Systems, Inc.","Elgin, IL   USA",2018-06-25
934,"Farmobile, Inc.","Leawood, KS   USA",2018-06-25
935,"Meels GmbH & Co. KG","Fellheim, Germany",2018-06-29
936,"Hi-tech Millennium","Corunna, MI, USA",2018-06-29
937,"Precision Circuits Inc","Downers Grove, IL   USA",2018-06-29
938,"LEVEL Systems","Náchod, Czech Republic",2018-06-29
939,"Warn Industries, Inc.","Clackamas, OR   USA",2018-06-29
940,"Dometal Oy","Loimaa, Finland",2018-06-29
941,Navya,"Villeurbanne, France",2018-06-29
942,"Vogelsang GmbH & Co. KG","Essen, Germany",2018-07-08
943,"FISCHER AG Präzisionspindeln","Herzogenbuchsee, Switzerland",2018-07-08
944,"ZONTISA Marine SL","Barcelona, Spain",2018-07-08
945,"Equalizer AG","Cape Town, South Africa",2018-07-13
946,"Hydac Tecnologia Ltda","São Bernardo do Campo, Brazil",2018-07-13
947,"Gerd Bär GmbH","Heilbronn, Germany",2018-07-21
948,Donix,"Cape Town, South Africa",2018-07-21
949,"Škoda Electric a.s.","Plzeň, Czech Republic",2018-07-25
950,"RE:Lab s.r.l.","Reggio Emilia, Italy",2018-08-01
951,"Exor International S.p.A.","San Giovanni Lupatoto, Italy",2018-08-06
952,"Tan Delta Systems Ltd","Sheffield, South Yorkshire   UK",2018-08-24
953,Curtiss-Wright,"Davidson, NC   USA",2018-08-30
954,"Setec Pty Ltd","Melbourne, Victoria   Australia",2018-08-30
955,"Hottinger Baldwin (Suzhou) Electronic Measurement Technology Co., Ltd.","Suzhou, China",2018-08-30
956,"Piher Sensors & Controls S.A.","Tudela, Spain",2018-09-08
957,"Sierra Wireless Inc","Richmond, BC   Canada",2018-09-08
958,"NHK MEC Corporation","Yokohama, Japan",2018-09-08
959,"Cascade Corporation","Fairview, OR   USA",2018-09-21
960,"Vemcon GmbH","Munich, Germany",2018-09-21
961,"POK SAS","Nogent-sur-Seine, France",2018-10-03
962,"Timbolier Industries, Inc.","Edgewater, MD   USA",2018-10-03
963,"Thomason Jones Company, LLC","Anacortes, WA   USA",2018-10-05
964,"AgroVIR Kft","Tata, Hungary",2018-10-05
965,"Ro-Sys Software","Debrecen, Hungary",2018-10-05
966,VisibleFarm,"Tata, Hungary",2018-10-05
967,"Moteck Electric Corp.","New Taipei City, Taiwan",2018-10-21
968,"Cox Powertrain Limited","Shoreham-by-Sea, West Sussex   UK",2018-10-24
969,"Blue Sea Systems","Bellingham, WA   USA",2018-10-24
970,"Jaboni Power Products, LLC","Elkhart, IN   USA",2018-10-27
971,"B+B Smartworx","Ottawa, IL   USA",2018-11-06
972,"Axion AG","Weissenhorn, Germany",2018-11-19
973,"Zasso GmbH","Aachen, Germany",2018-11-19
974,"Pico Technology Limited","St. Neots, Cambridgeshire   UK",2018-12-10
975,"Siemens AG","Fuerth, Germany",2018-12-10
976,"Derive Systems, Inc.","Sanford, FL   USA",2018-12-11
977,"Copeland LP (formerly Emerson Electric Co.)","St. Louis, MO   USA",2023-06-16
978,"Canfield Connector","Youngstown, OH   USA",2018-12-18
979,McHale,"Ballinrobe, Ireland",2018-12-18
980,"Gussi Italia S.R.L.","Tregnago, Italy",2018-12-18
981,"Kobelt Manufacturing Co. Ltd","Surrey, BC   Canada",2018-12-18
982,"Briggs & Stratton Corporation","Wauwatosa, WI   USA",2018-12-20
983,"Dezwaef NV","Moerkerke, Belgium",2019-01-04
984,"E-T-A Elektrotechnische Apparate GmbH","Altdorf, Germany",2019-01-04
985,"NLR, LLC","Opelika, AL   USA",2019-02-03
986,"AAMP Global","Bordon, Hampshire   UK",2019-02-08
987,"Baltic Car Equipment","Kaunas, Lithuania",2019-02-08
988,"Voith Turbo","Heidenheim, Germany",2019-02-08
989,"Flux-Geräte GmbH","Maulbronn, Germany",2019-02-13
990,"SAMSUNG SDI Co., Ltd.","Cheonan, Republic of Korea",2019-02-20
991,"Deutronic Elektronik GmbH","Adlkofen, Germany",2019-02-28
992,"MarineIOT LLC","Seattle, WA   USA",2019-03-06
993,"Alelion Energy Systems AB","Gothenburg, Sweden",2019-03-10
994,"Morris Industries Ltd.","Saskatoon, SK  Canada",2019-03-14
995,"Circuitlink Pty Ltd.","Seven Hills, NSW  Australia",2019-03-14
996,"Eniquest Pty Ltd","Bells Creek, QLD  Australia",2019-03-26
997,"Xenta Systems Srl","Rome, Italy",2019-03-26
998,"Transcell Technology Inc","Buffalo Grove, IL  USA",2019-04-02
999,"TerraTroniq B.V.","Renkum, The Netherlands",2019-04-02
1000,"Landmaschinen Wienhoff GmbH","Bawinkel, Germany",2019-04-11
1001,"Cleral Inc.","Val-d'Or, QC  Canada",2019-04-19
1002,"Kussmaul Electronics Co.","West Sayville, NY  USA",2019-04-19
1003,"technotrans SE","Sassenberg, Germany",2019-04-19
1004,"Ultraflex SpA","Casella, Italy",2019-04-19
1005,"TSE Brakes, Inc.","Cullman, AL  USA",2019-04-19
1006,Proterra,"Burlingame, CA   USA",2019-04-29
1007,"Maschinenfabrik Meyer-Lohne GmbH","Lohne, Germany",2019-04-29
1008,"Lintest Systems LLC","Boca Raton, FL   USA",2019-04-29
1009,"TouchTronics, Inc.","Elkhart, IN   USA",2019-05-03
1010,"Agricultural Industry Electronics Foundation e.V.","Frankfurt, Germany",2019-05-03
1011,"Soundmax Electronics Ltd","Hong Kong, China",2019-05-07
1012,"Rhodan Marine Systems of Florida LLC","Sarasota, FL   USA",2019-05-15
1013,"Allochis E-Tec","Ferré, Argentina",2019-05-24
1014,"Briri Maschinenbau GmbH","Bawinkel, Germany",2019-05-24
1015,"SECURITAG SAS","Nantes, France",2019-05-24
1016,"Röhren- und Pumpenwerk BAUER GmbH","Voitsberg, Austria",2019-06-14
1017,"Caldaro AB","Stockholm, Sweden",2019-06-14
1018,"Flex TTS","San Jose, CA   USA",2019-06-14
1019,"Codek Foundries","Cedar Rapids, IA   USA",2019-06-14
1020,"Onyx Marine Automation s.r.l.","Fano, Italy",2019-06-14
1021,"Entratech Systems LLC","Sandusky, OH   USA",2019-06-14
1022,"ITC Inc","Hudsonville, MI   USA",2019-06-14
1023,"PEAK-System Technik GmbH","Darmstadt, Germany",2019-06-21
1024,"Inventus Power","Woodridge, IL   USA",2019-06-21
1025,"eze System, Inc.","Folsom, CA   USA",2019-06-25
1026,"ZTR Control Systems, LLC","London, ON   Canada",2019-06-25
1027,"Goldacres PTY LTD","Mitchell Park, Victoria   Australia",2019-06-25
1028,"Autel Intelligent Technology Corp., Ltd","Shenzhen, China",2019-06-29
1029,"The Marine Guardian LLC","Spring Hill, FL   USA",2019-06-29
1030,"Tume-Agri Oy","Turenki, Finland",2019-07-11
1031,"Flintec UK Ltd.","Cardiff, UK",2019-07-22
1032,"SIMOL S.p.A.","Codisotto (RE), Italy",2019-07-22
1033,"ECCO Safety Group","Boise, ID   USA",2019-08-02
1034,"Siren Marine","Newport, RI   USA",2019-08-02
1035,Agres,"Pinhais, Brazil",2019-08-16
1036,"Bender GmbH & Co. KG","Grünberg, Germany",2019-08-16
1037,"Dragonfly Energy Corp.","Sparks, NV   USA",2019-08-16
1038,"EMIT Technologies, Inc.","Sheridan, WY   USA",2019-08-16
1039,"Liugong Dressta Machinery","Stalowa Wola, Poland",2019-08-20
1040,"BPE Electronics Srl","Campagnola Emilia (RE), Italy",2019-08-28
1041,"EZ Lynk","Georgetown, Cayman Islands",2019-08-28
1042,"engcon group","Strömsund, Sweden",2019-08-28
1043,Hyva,"Alphen Aan Den Rijn, The Netherlands",2019-09-20
1044,Xee,"Lille, France",2019-09-20
1045,"CMR Group","Marseille, France",2019-09-20
1046,Praxidyn,"Oakland, IA   USA",2019-10-02
1047,"Sonic Corporation","Tokyo, Japan",2019-10-02
1048,"Agrivation UG","Havixbeck, Germany",2019-10-02
1049,"S&S Cycle","Viola, WI   USA",2019-10-07
1050,"Spacenus GmbH","Darmstadt, Germany",2019-10-07
1051,"ProNav AS","Egersund, Norway",2019-10-09
1052,Pfreundt,"Südlohn, Germany",2019-10-16
1053,"Vetus Maxwell, Inc.","Hanover, MD   USA",2019-10-16
1054,"Schmotzer Hacktechnik GmbH & Co. KG","Bad Windsheim, Germany",2019-10-24
1055,"EXA Computing GmbH","Hamm, Germany",2019-10-24
1056,"Lithium Pros","Knoxville, TN   USA",2019-11-05
1057,EquipmentShare,"Columbia, MO   USA",2019-11-12
1058,"Bondioli & Pavesi SpA","Pieve di Cento, Italy",2019-11-12
1059,Boatrax,"Miami, FL   USA",2019-11-18
1060,Scale-Tec,"Anamosa, IA   USA",2019-12-01
1061,"Volvo Construction Equipment","Shippensburg, PA   USA",2019-12-01
1062,"Marol Co Ltd","Kobe, Japan",2019-12-01
1063,SolSteer,"Pulborough, West Sussex  UK",2019-12-01
1064,"Omnitech Robotics Inc.","Littleton, CO   USA",2019-12-14
1065,"CALYPSO Instruments","Zaragoza, Spain",2019-12-14
1066,"Spot Zero Water","Fort Lauderdale, FL   USA",2019-12-14
1067,"Tecomec S.r.l.","Reggio Emilia (RE), Italy",2019-12-14
1068,"Zapi S.p.A.","Poviglio (RE), Italy",2019-12-14
1069,"Lithionics Battery LLC","Clearwater, FL   USA",2020-01-07
1070,"Quick-teck Electronics Ltd","Newark Close, Royston   UK",2020-01-07
1071,"MACH SYSTEMS s.r.o.","Prague, Czech Republic",2020-01-08
1072,"La Marche Manufacturing Company","Des Plaines, IA   USA",2020-01-10
1073,"Manitou Equipment America LLC","West Bend, WI   USA",2020-01-15
1074,"Kindhelm / Navigs Oy","Espoo, Finland",2020-01-15
1075,"Uniden America Corporation","Irving, TX   USA",2020-01-17
1076,"DOGA S.A.","Abrera, Barcelona  Spain",2020-01-17
1077,"Ymer Technology","Stockholm, Sweden",2020-01-17
1078,"GE Appliances","Louisville, KY   USA",2020-01-25
1079,"Carl Zeiss Spectroscopy GmbH","Jena, Germany",2020-01-28
1080,"Epsilor-Electric Fuel Ltd.","Beit Shemesh, Israel",2020-01-30
1081,"Imcon Electronics, s.r.o.","Šlapanice, Czech Republic",2020-02-11
1082,"TÜMOSAN Engine and Tractor Co.","Istanbul, Turkey",2020-02-11
1083,Nauticoncept,"Macon, France",2020-02-11
1084,"Shadow-Caster LED lighting LLC","Clearwater, FL   USA",2020-02-11
1085,"Wet Sounds, LLC","Houston, TX   USA",2020-02-21
1086,"Life Racing Ltd","Basildon, Essex   UK",2020-02-21
1087,"ITPhotonics S.r.l.","Fara Vicentino, Italy",2020-02-21
1088,"E-T-A Circuit Breakers","Mt. Prospect, IL   USA",2020-02-21
1089,"Carrosserie HESS AG","Bellach, Switzerland",2020-03-03
1090,"E-T-A Circuit Breakers Ltd","Aylesbury, Buckinghamshire  UK",2020-03-05
1091,"Wheel Monitor Inc.","Niagara-on-the-Lake, ON   Canada",2020-03-15
1092,Scheiber,"Saint-Pierre du Chemin, France",2020-03-24
1093,innolectric,"Bochum, Germany",2020-03-31
1094,"Tokushu Denki","Iwata, Japan",2020-04-17
1095,"WEG Drives and Controls - Automação Ltda","Jaraguá do Sul, Brazil",2020-04-23
1096,"Texense Sensors","Varennes-Vauzelles, France",2020-04-28
1097,"M2M Craft Co., Ltd","Sapporo, Japan",2020-04-28
1098,"Preh GmbH","Bad Neustadt a. d. Saale, Germany",2020-05-12
1099,"MadgeTech, Inc","Warner, NH  USA",2020-05-13
1100,"LINK Marine Technologies (formerly Smart Yachts International Limited)","Allendale, Northumberland  UK",2025-02-11
1101,"DIS Sensors B.V.","Soest, the Netherlands",2020-06-04
1102,"Carl Geringhoff GmbH & Co. KG","Ahlen, Germany",2020-06-04
1103,"Diesel Laptops","Irmo, SC   USA",2020-06-10
1104,"The Toro Company","Bloomington, MN   USA",2020-06-12
1105,"Redekop Manufacturing","Saskatoon, SK  Canada",2020-07-01
1106,"Great Dane LLC","Chicago, IL   USA",2020-07-01
1107,"Dräger Safety","Lübeck, Germany",2020-07-08
1108,ORBCOMM,"Rochelle Park, NJ   USA",2020-07-08
1109,Dockmate,"Boortmeerbeek, Belgium",2020-07-12
1110,"Analytic Systems Ware (1993) Ltd.","Delta, BC   Canada",2020-07-19
1111,"SEPPI M.","Caldaro, Italy",2020-07-24
1112,"Bollinger Motors","Oak Park, MI   USA",2020-08-04
1113,"iVolve Pty Ltd","South Brisbane, Australia",2020-08-04
1114,"Bob's Machine","Tampa, FL   USA",2020-08-09
1115,"Gems Sensors & Controls","Plainville, CT   USA",2020-08-14
1116,"HR Agrartechnik GmbH","Velen, Germany",2020-08-14
1117,"LG Chem, Ltd","Seoul, South Korea",2020-08-14
1118,"L3Harris ASV","Portchester, Hampshire   UK",2020-08-18
1119,"Balmar LLC","Huntsville, AL  USA",2020-08-27
1120,"Elettromedia s.r.l.","Macerata, Italy",2020-08-27
1121,"Platform Science","La Jolla, CA   USA",2020-09-02
1122,"GT Inc.","Oak Ridge North, TX   USA",2020-09-02
1123,"QP Hydraulics","Carol Stream, IL   USA",2020-09-08
1124,"Fortron Agriculture","Campo Mourão, Brazil",2020-09-08
1125,"Griffith-Elder & Co. Ltd.","Bury St. Edmunds, Suffolk  UK",2020-09-14
1126,Auralix,"Maribor, Slovenia",2020-09-14
1127,ElectroMaax,"Beamsville, ON   Canada",2020-09-14
1128,"Citoon Electronic Technology (Tianjin) Co., Ltd.","Tianjin, China",2020-09-16
1129,"Spectrolytic GmbH","Wernberg-Koeblitz, Germany",2020-09-22
1130,"Vitesco Technologies","Regensburg, Germany",2020-09-22
1131,"Guliwer electronics s.r.o.","Lanškroun, Czech republic",2020-09-29
1132,"Tokachi Zaidan","Obihiro-shi, Japan",2020-09-29
1133,"MEGATRON Elektronik GmbH & Co. KG","Putzbrunn, Germany",2020-09-29
1134,"Master Schools at Ostbahnhof","Munich, Germany",2020-09-30
1135,"Japan Aviation Electronics Industry, Limited","Tokyo, Japan",2020-09-30
1136,"Primosensor GmbH","Dieburg, Germany",2020-10-04
1137,"SIKO GmbH","Buchenbach, Germany",2020-10-12
1138,"Micro-Sensor GmbH","Hermsdorf, Germany",2020-10-22
1139,"ASP Technology","Grand Forks, ND   USA",2020-10-14
1140,"Across Oceans Systems Ltd.","North Vancouver, BC   Canada",2020-10-29
1141,"MRS Electronic GmbH & Co. KG","Rottweil, Germany",2020-10-29
1142,Truma,"Putzbrunn, Germany",2020-10-29
1143,"Elektro-Szoft 2000","Bátmonostor, Hungary",2020-11-02
1144,"Troo Corporation","Ottawa, ON   Canada",2020-11-04
1145,"Kiwi Yachting","Auckland, New Zealand",2020-11-05
1146,Rometron,"Steenderen, the Netherlands",2020-11-09
1147,"Dana Inc.","Maumee, OH   USA",2020-11-10
1148,"Stercom Power Solutions GmbH","Weyarn, Germany",2020-11-10
1149,"Wuxi Shengbang Electronics Co., Ltd","Wuxi, China",2020-11-23
1150,"BSB Artificial Intelligence GmbH","Linz, Austria",2020-11-29
1151,"Orca Technologies AS","Oslo, Norway",2020-11-29
1152,"Vredo Dodewaard B.V.","Dodewaard, The Netherlands",2020-12-18
1153,"Kawasaki Heavy Industries, Ltd.","Kobe, Japan",2020-12-24
1154,"TBS Electronics BV","Zwaag, The Netherlands",2021-01-05
1155,"LACOS GmbH (formerly LACOS Computerservice GmbH)","Zeulenroda, Germany",2023-10-04
1156,"Nokian Tyres","Nokia, Finland",2021-01-14
1157,Carriergistics,"Clover, SC   USA",2021-01-22
1158,"Technoton Electronics","Minsk, Belarus",2021-01-26
1159,"Bel Power Solutions","Dubnica nad Vahom, Slovakia",2021-02-04
1160,"MG Energy Systems B.V.","Leeuwarden, The Netherlands",2021-02-04
1161,"Griessbach GmbH","Luckenwalde, Germany",2021-02-08
1162,"PEL-tuote Oy","Rantasalmi, Finland",2021-02-12
1163,"DFX Technologies LLC","Roswell, GA   USA",2021-02-18
1164,"SEG Automotive","Stuttgart, Germany",2021-03-08
1165,"InnoTotal AB","Kungälv, Sweden",2021-03-14
1166,"Wachendorff Automation GmbH & Co. KG","Geisenheim, Germany",2021-03-16
1167,"Tevva Motors","Chelmsford, Essex  UK",2021-03-19
1168,"Masats S.A.","Sant Salvador de Guardiola, Barcelona  Spain",2021-03-23
1169,"Sea Machine Robotics Inc.","Boston, MA   USA",2021-04-01
1170,"Poseidon Ocean Systems Ltd.","Campbell River, BC   Canada",2021-04-08
1171,"Vista Manufacturing","Elkhart, IN   USA",2021-04-13
1172,"Hyzon Motors","Honeoye Falls, NY   USA",2021-04-13
1173,"philippi elektrische systeme gmbh","Remseck am Neckar, Germany",2021-04-13
1174,"Agricon GmbH","Ostrau, Germany",2021-04-19
1175,"MAGTEC Products, Inc.","Calgary, AB  Canada",2021-04-20
1176,"Asuns Corp.","Dundee, IL   USA",2021-05-02
1177,"RNG International Inc.","Ontario, CA   USA",2021-05-02
1178,"ERO GmbH","Simmern, Germany",2021-05-02
1179,"QS Control srl","Narni, Italy",2021-05-04
1180,"Murata Power Solutions Inc.","Westborough, MA   USA",2021-05-25
1181,"Banjo Corporation","Crawfordsville, IN   USA",2021-05-25
1182,"Rottmann Automation","Ochtrup, Germany",2021-05-27
1183,"Zipwake AB","Gothenburg, Sweden",2021-06-07
1184,"AMA S.p.A.","Campogalliano, Italy",2021-06-07
1185,"WFCO Electronics","Tang Xia Town, China",2021-06-07
1186,"Sailmon BV","Den Haag, The Netherlands",2021-06-15
1187,"TiTAN-Project LLC","Moscow, Russian Federation",2021-07-10
1188,G-SNS,"Munich, Germany",2021-07-20
1189,"Autotrasporti Cavallo G&V","Boves (CN), Italy",2021-07-26
1190,"Sirros IoT","Novo Hamburgo, Brazil",2021-07-26
1191,"Pacoma USA, Inc.","Halifax, PA   USA",2021-08-03
1192,"Airmoniq Pro Kft.","Pécs, Hungary",2021-08-12
1193,"emotas embedded communication GmbH","Merseburg, Germany",2021-08-26
1194,"Sierra Marine","Litchfield, IL",2021-08-26
1195,düvelsdorf,"Ottersberg, Germany",2021-09-10
1196,"Terra Care GmbH","Neukirchen, Austria",2021-09-10
1197,"SOLGE Corporation","Daegu, South Korea",2021-09-10
1198,"ComLink Equipamentos Eletrônicos Ltda","Caxias do Sul, Brazil",2021-09-10
1199,"ELEO Technologies B.V.","Helmond, The Netherlands",2021-09-10
1200,"Xinuo Information Technology (Xiamen) Corporation Limited","Xiamen, China",2021-09-10
1201,"Emisense Technologies, LLC","Ladera Ranch, CA   USA",2021-09-30
1202,"OSCAR ELECTRONICS SRL (formerly OSCAR Elettronica)","Carpenedolo, Italy",2024-05-15
1203,"Equipment Technologies, Inc.","Mooresville, IN   USA",2021-09-30
1204,"Miller Technology Incorporated","North Bay, ON   Canada",2021-09-30
1205,"Carbon Autonomous Robotic Systems","Seattle, WA   USA",2021-09-30
1206,"STE Solutions B.V.","Wehl, The Netherlands",2021-09-30
1207,"UEC Electronics","Hanahan, SC   USA",2021-09-30
1208,"Afflield Kft. (MachineryGuide)","Budapest, Hungary",2021-09-30
1209,"Bauser GmbH & Co. KG","Empfingen, Germany",2021-09-30
1210,"Ambra Solutions","Trois-Rivieres, QC   Canada",2021-10-13
1211,"Kiwon Electronics Co., Ltd.","Iksan, Republic of Korea",2021-10-13
1212,"TAO Performance Limited","Paihia, New Zealand",2021-10-26
1213,"Apollo Tyres Ltd","Gurgaon, India",2021-10-26
1214,"Element 1","Bend, OR   USA",2021-10-31
1215,"Power Control Systems","San Vendemiano, Italy",2021-11-06
1216,"SMP Poland sp. z o.o.","Warsaw, Poland",2021-11-21
1217,"FSG Fernsteuergeräte Kurt Oelsch GmbH","Berlin, Germany",2021-11-24
1218,Septentrio,"Leuven, Belgium",2021-11-28
1219,"Weidmueller Interface GmbH & Co. KG","Detmold, Germany",2021-11-30
1220,"Catamaran Electronics LLC","West Melbourne, FL   USA",2021-12-03
1221,"Norcold Inc.","Sidney, OH   USA",2021-12-03
